,measurement_id,lon,lat,source,coords,Name,nodeId,wayId
201,N74181D,-1.834672441,52.51299303,Scoot,"(-1.8346724409999999, 52.512993029999997)",Bromford Lane,3798175283,72240323-0
202,N90151Q,-1.929312512,52.54294259,Scoot,"(-1.9293125119999999, 52.542942590000003)",Old Walsall Road,3814047762,22910688-1
203,N43161F,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
204,N24221L,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
205,N21142H,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
206,N41111D,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
207,N38141R,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
208,N33121G,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
209,N90151N,-1.929327099,52.54304149,Scoot,"(-1.929327099, 52.54304149)",Old Walsall Road,246646168,22910688-0
210,N83162Y,-1.777074192,52.45146121,Scoot,"(-1.7770741919999999, 52.451461209999998)",Coventry Road,2245338872,380943891-0
211,N57171T,-1.944342574,52.50401535,Scoot,"(-1.944342574, 52.504015350000003)",Booth Street,3806516253,37372165-10
212,N96151C,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
213,N65131D,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
214,N51121J,-1.909543784,52.49035622,Scoot,"(-1.909543784, 52.490356220000002)",Great Hampton Street,3794133242,32873315-0
215,N61111A,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
216,N90141D,-1.917857254,52.53408919,Scoot,"(-1.9178572540000001, 52.534089190000003)",Walsall Road,3814064750,22752756-0
217,N44181R,-1.929930638,52.46927956,Scoot,"(-1.9299306380000001, 52.469279559999997)",Harborne Road,3797894479,42740352-0
218,N55121C,-1.939407783,52.51443225,Scoot,"(-1.9394077830000001, 52.514432249999999)",Oxhill Road,3798343349,381249637-1
219,N35122J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
220,N82131B,-1.835952945,52.46184196,Scoot,"(-1.8359529450000001, 52.461841960000001)",Kings Road,3796591033,10476451-2
221,N35131L,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
222,N24111R,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
223,N66181L,-1.8369612,52.53561478,Scoot,"(-1.8369612000000002, 52.535614780000003)",Gravelly Lane,3799168423,189749169-2
224,N43211W,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
225,N96131S,-1.96846138,52.41765738,Scoot,"(-1.9684613799999999, 52.417657380000001)",West Boulevard,313887521,28576127-0
226,N90141U,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
227,N24121M,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
228,N90132T,-1.913131138,52.53097533,Scoot,"(-1.913131138, 52.530975329999997)",Walsall Road,3814080394,231830920-1
229,N24231A,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
230,N62111C,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
231,N38111F,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
232,N24221J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
233,N96111P,-1.968373346,52.41739664,Scoot,"(-1.9683733459999999, 52.41739664)",West Boulevard,313887521,28576127-0
234,N56121J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
235,N12112P,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
236,N56111B,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
237,N67111G,-1.899714787,52.51883739,Scoot,"(-1.899714787, 52.518837390000002)",,,
238,N84112F,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
