scnno,timestamp,value,lat,lon,bearinglookup,bearing
WMID-JTMS20,2016-06-15 10:55:00,49,52.5847941292,-2.13737959043
WMID-JTMS21,2016-06-15 10:55:00,19,52.5574281677,-2.16611547054
WMID-JTMS22,2016-06-15 10:55:00,38,52.5799803064,-2.1332619044
WMID-JTMS23,2016-06-15 10:55:00,42,52.5793689014,-2.13334859104
WMID-JTMS24,2016-06-15 10:55:00,50,52.5573839637,-2.16558430308
WMID-JTMS25,2016-06-15 10:55:00,20,52.5525606761,-2.09703037907
WMID-JTMS28,2016-06-15 10:55:00,27,52.5523901475,-2.09669079051
WMID-JTMS3,2016-06-15 10:55:00,10,52.5902448461,-2.12673920309
WMID-JTMS33,2016-06-14 13:06:00,1,52.5074020323,-2.08872420932
WMID-JTMS36,2016-06-15 10:55:00,4,52.5073829355,-2.09019749594
WMID-JTMS39,2016-06-15 10:55:00,54,52.4991498622,-2.10944809253
WMID-JTMS4,2016-06-15 10:55:00,45,52.6359411686,-2.12545295451
WMID-JTMS42,2016-06-15 10:55:00,49,52.4476583856,-2.14049764411
WMID-JTMS46,2016-06-15 10:55:00,40,52.4580905794,-2.12931670719
WMID-JTMS49,2016-06-15 10:55:00,55,52.4741645857,-2.07832219659
WMID-JTMS5,2016-06-15 10:55:00,51,52.5830106928,-2.06944017824
WMID-JTMS50,2016-06-15 10:55:00,10,52.4696521842,-2.09012012026
WMID-JTMS51,2016-06-15 10:55:00,36,52.4697849564,-2.09279955862
WMID-JTMS52,2016-06-15 10:55:00,48,52.4749028269,-2.0767040476
WMID-JTMS56,2016-06-15 10:55:00,50,52.5120427576,-2.05636120825
WMID-JTMS57,2016-06-15 10:55:00,32,52.5904828688,-1.98532851198
WMID-JTMS6,2016-06-15 10:55:00,42,52.5846822935,-2.11590465908
WMID-JTMS61,2016-06-15 10:55:00,49,52.5897280756,-1.98856138522
WMID-JTMS63,2016-06-15 10:55:00,3,52.5677305169,-2.00233195661
WMID-JTMS64,2016-06-15 10:55:00,63,52.5677035533,-2.00205163942
WMID-JTMS7,2016-06-15 10:55:00,47,52.5848005991,-2.11442905184
WMID-JTMS73,2016-06-15 10:55:00,39,52.5871443361,-1.96820802986
WMID-JTMS74,2016-06-15 10:55:00,43,52.5885572214,-1.97440640701
WMID-JTMS8,2016-06-15 10:55:00,45,52.5833339852,-2.07001628048
WMID-JTMS92,2016-06-15 10:55:00,17,52.4078869917,-1.48784756232
WMTG-10751-4-Zone1,2016-06-15 10:55:00,39,52.4137694941,-1.53195947418
WMTG-A0418POLE14-Zone1,2016-06-15 10:55:00,41,52.5525511635,-2.09766453819
WMTG-A0418POLE14-Zone2,2016-06-15 10:55:00,33,52.5525511635,-2.09766453819
WMTG-A0418POLE19-Zone1,2016-06-15 10:55:00,12,52.5525699201,-2.09672068349
WMTG-A0418POLE19-Zone2,2016-06-15 10:55:00,41,52.5525699201,-2.09672068349
WMTG-A0541POLE1-Zone1,2016-06-15 04:06:00,7,52.5616005907,-2.06294512096
WMTG-A0541POLE1-Zone2,2016-06-15 04:06:00,1,52.5616005907,-2.06294512096
WMTG-A0811POLE2-Zone1,2016-06-15 10:55:00,59,52.594837117,-2.11956310775
WMTG-C02911-TCAM2-Zone1,2016-06-15 10:55:00,24,52.4719844402,-2.08492823407
WMTG-C02911-TCAM3-Zone1,2016-06-15 10:55:00,16,52.4719844402,-2.08492823407
WMTG-C02911-TCAM4-Zone1,2016-06-15 10:55:00,42,52.4719844402,-2.08492823407
WMTG-C02921-TCAM1-Zone1,2016-06-15 10:55:00,56,52.4738398903,-2.07989687714
WMTG-C02921-TCAM2-Zone1,2016-06-15 10:55:00,53,52.4738398903,-2.07989687714
WMTG-D0212Pole2-Zone1,2016-06-15 10:55:00,40,52.5130537536,-2.06574879567
WMTG-D0212Pole2-Zone2,2016-06-15 10:55:00,45,52.5130537536,-2.06574879567
WMTG-D0212Pole8-Zone1,2016-06-15 10:55:00,40,52.5130537536,-2.06574879567
WMTG-D0212Pole8-Zone2,2016-06-15 10:55:00,81,52.5130537536,-2.06574879567
WMTG-D0219Pole12-Zone1,2016-06-15 10:55:00,19,52.5137204717,-2.06306795756
WMTG-D0219Pole12-Zone2,2016-06-15 10:55:00,8,52.5137204717,-2.06306795756
WMTG-D0219Pole25-Zone1,2016-06-15 10:55:00,40,52.5137204717,-2.06306795756
WMTG-D0219Pole25-Zone2,2016-06-15 10:55:00,65,52.5137204717,-2.06306795756
WMTG-D0411Pole4-Zone1,2016-06-15 10:55:00,64,52.4808403962,-2.16161522867
WMTG-D0511Pole1-Zone1,2016-06-15 10:55:00,14,52.4811761526,-2.12150691494
WMTG-D0511Pole1-Zone2,2016-06-15 10:55:00,6,52.4811761526,-2.12150691494
WMTG-D0514Pole14-Zone1,2016-06-15 10:55:00,12,52.4837836117,-2.12114598031
WMTG-D0514Pole2-Zone1,2016-06-15 10:55:00,34,52.4837836117,-2.12114598031
WMTG-D0548Pole12-Zone1,2016-06-15 10:55:00,29,52.4846828162,-2.12094229653
WMTG-D0548Pole2-Zone1,2016-06-15 10:55:00,33,52.4846828162,-2.12094229653
WMTG-E0749-Pole1-Zone1,2016-06-15 10:55:00,46,52.4687782532,-1.90689406753
WMTG-E0749-Pole3-Zone1,2016-06-15 10:55:00,39,52.4687782532,-1.90689406753
WMTG-E0749-Pole3-Zone2,2016-06-15 10:55:00,74,52.4687782532,-1.90689406753
WMTG-E0750-Pole3-Zone1,2016-06-15 10:55:00,28,52.4690209822,-1.9068935568
WMTG-E1116-Pole4-Zone1,2016-06-15 10:55:00,36,52.4695024738,-1.94337018693
WMTG-E2112-Pole4-Zone1,2016-06-15 10:40:00,49,52.4533161986,-1.78854270817
WMTG-E2112-Pole4-Zone2,2016-06-15 10:40:00,29,52.4533161986,-1.78854270817
WMTG-E2112-Pole5-Zone1,2016-06-15 10:40:00,24,52.4533523422,-1.78864554192
WMTG-E2347-Pole1-Zone1,2016-06-15 10:55:00,11,52.5041922888,-1.87124124244
WMTG-E2347-Pole1-Zone2,2016-06-15 10:55:00,34,52.5041922888,-1.87124124244
WMTG-E2530-Pole10-Zone1,2016-06-15 09:00:00,59,52.5132637461,-1.88970748832
WMTG-E2530-Pole5-Zone1,2016-06-14 13:16:00,39,52.5131289114,-1.88972256026
WMTG-E4522-Pole2-Zone1,2016-06-15 10:55:00,51,52.5295239629,-1.83360810221
WMTG-G0113_TCAM2-Zone1,2016-06-15 10:55:00,17,52.4134881652,-1.7681943607
WMTG-G0113_TCAM2-Zone2,2016-06-15 10:55:00,29,52.4134881652,-1.7681943607
WMTG-G0113_TCAM2-Zone3,2016-06-15 10:55:00,10,52.4134881652,-1.7681943607
WMTG-G0512_TCAM1-Zone1,2016-06-15 10:55:00,30,52.4382528685,-1.806634732
WMTG-G0512_TCAM1-Zone2,2016-06-15 10:55:00,47,52.4382528685,-1.806634732
WMTG-G0512_TCAM2-Zone1,2016-06-15 10:55:00,23,52.4373695857,-1.8052558619
WMTG-G0512_TCAM2-Zone2,2016-06-15 10:55:00,23,52.4373695857,-1.8052558619
